ip,blocked
93.120.34.0/24,1
93.120.46.0/24,1
93.157.104.0/21,1
93.185.103.42,1
94.102.49.0/24,1
94.102.51.0/24,1
94.124.72.0/21,1
94.130.109.30,1
94.152.8.56,1
94.154.32.0/22,1
94.154.112.0/20,1
94.229.72.116,1
94.229.72.123,1
94.247.136.0/21,1
95.130.224.0/21,1
96.30.52.60,1
96.126.123.244,1
100.64.0.0/10,1
101.42.0.0/16,1
101.101.96.0/22,1
101.134.0.0/15,1
101.192.0.0/14,1
101.203.128.0/19,1
101.248.0.0/15,1
102.192.0.0/12,1
102.208.0.0/13,1
102.216.0.0/14,1
102.220.0.0/16,1
102.221.0.0/17,1
102.221.132.0/22,1
102.221.136.0/21,1
102.221.144.0/21,1
102.221.152.0/22,1
102.221.164.0/22,1
102.221.180.0/22,1
102.221.248.0/22,1
102.222.4.0/22,1
102.222.12.0/22,1
102.222.60.0/24,1
102.222.172.0/24,1
102.222.174.0/24,1
102.223.180.0/22,1
102.223.184.0/21,1
102.228.0.0/16,1
102.232.0.0/16,1
102.240.0.0/16,1
103.1.156.0/22,1
103.4.76.0/22,1
103.4.80.0/22,1
103.4.135.0/24,1
103.4.217.55,1
103.5.149.0/24,1
103.5.216.0/22,1
103.6.119.0/24,1
103.6.120.0/21,1
103.6.160.0/23,1
103.6.166.0/24,1
103.6.232.0/22,1
103.7.120.0/22,1
103.7.192.0/22,1
103.8.64.0/22,1
103.8.184.0/22,1
103.8.192.0/22,1
103.9.140.0/22,1
103.10.68.0/22,1
103.10.108.0/24,1
103.10.111.0/24,1
103.10.127.0/24,1
103.10.192.0/22,1
103.11.196.0/22,1
103.12.0.0/24,1
103.12.85.0/24,1
103.12.180.0/22,1
103.12.204.0/22,1
103.12.224.0/22,1
103.12.244.0/24,1
103.13.4.0/22,1
103.13.72.0/23,1
103.13.136.0/22,1
103.13.164.0/22,1
103.13.182.0/24,1
103.13.192.0/22,1
103.13.204.0/22,1
103.13.232.0/22,1
103.14.0.0/24,1
103.14.22.0/23,1
103.14.56.0/22,1
103.14.148.0/24,1
103.14.150.0/23,1
103.14.154.0/23,1
103.14.168.0/22,1
103.14.208.0/22,1
103.14.224.0/22,1
103.15.12.0/22,1
103.15.38.0/24,1
103.15.88.0/21,1
103.15.156.0/23,1
103.15.160.0/22,1
103.15.212.0/22,1
103.15.220.0/22,1
103.15.227.0/24,1
103.16.4.0/23,1
103.16.76.0/24,1
103.16.116.0/22,1
103.16.208.0/23,1
103.16.212.0/22,1
103.16.248.0/22,1
103.17.4.0/22,1
103.17.32.0/22,1
103.17.148.0/22,1
103.18.44.0/22,1
103.18.112.0/22,1
103.18.184.0/22,1
103.18.188.0/24,1
103.18.204.0/22,1
103.18.232.0/22,1
103.19.28.0/22,1
103.19.48.0/22,1
103.19.120.0/22,1
103.19.156.0/22,1
103.20.16.0/24,1
103.20.50.0/24,1
103.20.88.0/24,1
103.20.96.0/21,1
103.20.108.0/22,1
103.20.198.0/23,1
103.20.219.0/24,1
103.20.228.0/22,1
103.20.240.0/22,1
103.21.4.0/22,1
103.21.68.0/22,1
103.21.96.0/22,1
103.21.100.0/23,1
103.21.102.0/24,1
103.21.188.0/22,1
103.21.195.0/24,1
103.21.220.0/22,1
103.22.96.0/22,1
103.22.216.0/22,1
103.23.8.0/22,1
103.23.28.0/24,1
103.23.68.0/23,1
103.23.88.0/21,1
103.23.124.0/22,1
103.23.148.0/23,1
103.23.172.0/23,1
103.23.196.0/22,1
103.23.252.0/22,1
103.24.52.0/22,1
103.24.68.0/22,1
103.24.78.0/23,1
103.24.88.0/22,1
103.24.192.0/23,1
103.24.196.0/22,1
103.24.232.0/22,1
103.25.164.0/24,1
103.25.184.0/22,1
103.25.220.0/24,1
103.26.24.0/21,1
103.26.116.0/22,1
103.26.176.0/22,1
103.26.188.0/22,1
103.27.192.0/22,1
103.27.255.0/24,1
103.28.16.0/22,1
103.29.0.0/22,1
103.29.8.0/22,1
103.29.29.0/24,1
103.29.60.0/22,1
103.29.80.0/22,1
103.29.180.0/22,1
103.29.236.0/22,1
103.30.8.0/21,1
103.30.60.0/22,1
103.30.72.0/22,1
103.30.104.0/22,1
103.30.192.0/22,1
103.30.212.0/24,1
103.31.8.0/22,1
103.31.40.0/22,1
103.31.116.0/22,1
103.32.0.0/16,1
103.34.0.0/16,1
103.35.114.0/23,1
103.35.152.0/22,1
103.35.176.0/22,1
